id,bild,name,kartengruppe,deck_bereich,hauptattribut,kartentyp,entwicklungskarte,grundkarte_bild,fraktion,stufe,klasse,bereich,untertyp,material,nebenattribute,herzen,physische_staerke,astrale_staerke,physischer_schild,astraler_schild,ehre,wunder,effekte,tags,effekt_symbol,effekt_zaehler_max,effekt_dauer_kr,effekt_text,kreatur
1.04-01-32-f3d2e6a0,Zuflucht/1.04-01-32-f3d2e6a0.webp,Zauberkessel Sternenwacht,Zuflucht,zuflucht,ZUFLUCHT,Zuflucht,False,,Astralwelt,1,,,,,[],6,0,0,0,0,0,"{""kosten_ehre"": 2, ""effekt_text"": ""Ziehe eine Karte von einem der Hauptstapel.""}","[{""typ"": ""angriffsregel"", ""trigger"": ""Ansturmphase"", ""effekt_text"": ""Diese Zuflucht kann nur angreifen, wenn auf der eigenen Spielfeldseite keine Bezwingerin vorhanden ist.""}]","[""angriff_nur_ohne_eigene_bezwingerin"", ""zuflucht""]",,,,,
1.04-17-32-a4e9b502,Zuflucht/1.04-17-32-a4e9b502.webp,Sanctum Lysandor,Zuflucht,zuflucht,ZUFLUCHT,Zuflucht,False,,Astralwelt,1,,,,,[],6,0,0,0,0,0,"{""kosten_ehre"": 2, ""effekt_text"": ""Ziehe eine Karte von einem der Hauptstapel.""}","[{""typ"": ""angriffsregel"", ""trigger"": ""Ansturmphase"", ""effekt_text"": ""Diese Zuflucht kann nur angreifen, wenn auf der eigenen Spielfeldseite keine Bezwingerin vorhanden ist.""}]","[""angriff_nur_ohne_eigene_bezwingerin"", ""zuflucht""]",,,,,
1.01-01-32-09907f26,Zuflucht/1.01-01-32-09907f26.webp,Glut des Morgens,Zuflucht,zuflucht,ZUFLUCHT,Zuflucht,False,,Mittelwelt,1,,,,,[],6,0,0,0,0,0,"{""kosten_ehre"": 2, ""effekt_text"": ""Ziehe eine Karte von einem der Hauptstapel.""}","[{""typ"": ""angriffsregel"", ""trigger"": ""Ansturmphase"", ""effekt_text"": ""Diese Zuflucht kann nur angreifen, wenn auf der eigenen Spielfeldseite keine Bezwingerin vorhanden ist.""}]","[""angriff_nur_ohne_eigene_bezwingerin"", ""zuflucht""]",,,,,
1.01-17-32-aab9521d,Zuflucht/1.01-17-32-aab9521d.webp,Bastion Fernstille,Zuflucht,zuflucht,ZUFLUCHT,Zuflucht,False,,Mittelwelt,1,,,,,[],6,0,0,0,0,0,"{""kosten_ehre"": 2, ""effekt_text"": ""Ziehe eine Karte von einem der Hauptstapel.""}","[{""typ"": ""angriffsregel"", ""trigger"": ""Ansturmphase"", ""effekt_text"": ""Diese Zuflucht kann nur angreifen, wenn auf der eigenen Spielfeldseite keine Bezwingerin vorhanden ist.""}]","[""angriff_nur_ohne_eigene_bezwingerin"", ""zuflucht""]",,,,,
1.03-11-32-69f1d5d9,Zuflucht/1.03-11-32-69f1d5d9.webp,Das strahlende Schloss Kaizer,Zuflucht,zuflucht,ZUFLUCHT,Zuflucht,False,,Oberwelt,1,,,,,[],6,0,0,0,0,0,"{""kosten_ehre"": 2, ""effekt_text"": ""Ziehe eine Karte von einem der Hauptstapel.""}","[{""typ"": ""angriffsregel"", ""trigger"": ""Ansturmphase"", ""effekt_text"": ""Diese Zuflucht kann nur angreifen, wenn auf der eigenen Spielfeldseite keine Bezwingerin vorhanden ist.""}]","[""angriff_nur_ohne_eigene_bezwingerin"", ""zuflucht""]",,,,,
1.03-22-32-0d7d0d97,Zuflucht/1.03-22-32-0d7d0d97.webp,Wiederbelebungsapparatur,Zuflucht,zuflucht,ZUFLUCHT,Zuflucht,False,,Oberwelt,1,,,,,[],6,0,0,0,0,0,"{""kosten_ehre"": 2, ""effekt_text"": ""Ziehe eine Karte von einem der Hauptstapel.""}","[{""typ"": ""angriffsregel"", ""trigger"": ""Ansturmphase"", ""effekt_text"": ""Diese Zuflucht kann nur angreifen, wenn auf der eigenen Spielfeldseite keine Bezwingerin vorhanden ist.""}]","[""angriff_nur_ohne_eigene_bezwingerin"", ""zuflucht""]",,,,,
1.02-11-32-fb6715c3,Zuflucht/1.02-11-32-fb6715c3.webp,Infernalia Unterweltportal,Zuflucht,zuflucht,ZUFLUCHT,Zuflucht,False,,Unterwelt,1,,,,,[],6,0,0,0,0,0,"{""kosten_ehre"": 2, ""effekt_text"": ""Ziehe eine Karte von einem der Hauptstapel.""}","[{""typ"": ""angriffsregel"", ""trigger"": ""Ansturmphase"", ""effekt_text"": ""Diese Zuflucht kann nur angreifen, wenn auf der eigenen Spielfeldseite keine Bezwingerin vorhanden ist.""}]","[""angriff_nur_ohne_eigene_bezwingerin"", ""zuflucht""]",,,,,
1.02-22-32-e327b014,Zuflucht/1.02-22-32-e327b014.webp,Mausoleum der Rachsucht,Zuflucht,zuflucht,ZUFLUCHT,Zuflucht,False,,Unterwelt,1,,,,,[],6,0,0,0,0,0,"{""kosten_ehre"": 2, ""effekt_text"": ""Ziehe eine Karte von einem der Hauptstapel.""}","[{""typ"": ""angriffsregel"", ""trigger"": ""Ansturmphase"", ""effekt_text"": ""Diese Zuflucht kann nur angreifen, wenn auf der eigenen Spielfeldseite keine Bezwingerin vorhanden ist.""}]","[""angriff_nur_ohne_eigene_bezwingerin"", ""zuflucht""]",,,,,
1.05-01-32-0cb157b6,Zuflucht/1.05-01-32-0cb157b6.webp,Genova Toshi,Zuflucht,zuflucht,ZUFLUCHT,Zuflucht,False,,Zwischenwelt,1,,,,,[],6,0,0,0,0,0,"{""kosten_ehre"": 2, ""effekt_text"": ""Ziehe eine Karte von einem der Hauptstapel.""}","[{""typ"": ""angriffsregel"", ""trigger"": ""Ansturmphase"", ""effekt_text"": ""Diese Zuflucht kann nur angreifen, wenn auf der eigenen Spielfeldseite keine Bezwingerin vorhanden ist.""}]","[""angriff_nur_ohne_eigene_bezwingerin"", ""zuflucht""]",,,,,
1.05-17-32-4bfcb0ce,Zuflucht/1.05-17-32-4bfcb0ce.webp,Die Spitze der Herrschaft Khar Zirah,Zuflucht,zuflucht,ZUFLUCHT,Zuflucht,False,,Zwischenwelt,1,,,,,[],6,0,0,0,0,0,"{""kosten_ehre"": 2, ""effekt_text"": ""Ziehe eine Karte von einem der Hauptstapel.""}","[{""typ"": ""angriffsregel"", ""trigger"": ""Ansturmphase"", ""effekt_text"": ""Diese Zuflucht kann nur angreifen, wenn auf der eigenen Spielfeldseite keine Bezwingerin vorhanden ist.""}]","[""angriff_nur_ohne_eigene_bezwingerin"", ""zuflucht""]",,,,,
